Combined_Rank,Neighborhood,Combined_Score,Higher_Ed_Rate_Pct,Green_Space_Count,Education_Score,GreenSpace_Score
73,Oakwood,6.163041128240948,3.1372549019607843,1.0,3.992748923148564,8.333333333333332
74,Homewood West,5.861530578505607,2.663438256658596,1.0,3.389727823677882,8.333333333333332
75,Arlington Heights,5.758772485310428,9.049773755656108,0.0,11.517544970620856,0.0
76,Bon Air,5.550023970203193,2.1739130434782608,1.0,2.7667146070730535,8.333333333333332
77,Allegheny West,5.375115844259094,8.446866485013624,0.0,10.750231688518188,0.0
78,Bedford Dwellings,5.354245564881538,1.8662519440124417,1.0,2.375157796429744,8.333333333333332
79,Northview Heights,5.338459392842302,8.389261744966444,0.0,10.676918785684604,0.0
80,Hays,5.182109793730712,1.5957446808510638,1.0,2.0308862541280925,8.333333333333332
81,East Allegheny,4.961632865103296,7.797087834664161,0.0,9.923265730206593,0.0
82,Glen Hazel,4.138077483122269,6.502890173410404,0.0,8.276154966244539,0.0
83,Overbrook,3.7972592577185207,5.967302452316076,0.0,7.594518515437041,0.0
84,Mount Oliver Borough,3.536302685706162,5.5572154167911565,0.0,7.072605371412324,0.0
85,California-Kirkbride,3.4212062345527006,5.376344086021505,0.0,6.842412469105401,0.0
86,Knoxville,3.4013952407668726,5.34521158129176,0.0,6.802790481533745,0.0
87,Chartiers City,3.1817217981340113,5.0,0.0,6.363443596268023,0.0
88,Summer Hill,2.540860353434437,3.9929015084294592,0.0,5.081720706868874,0.0
89,Mt. Oliver,1.166631325982471,1.8333333333333333,0.0,2.333262651964942,0.0
90,Chateau,0.0,0.0,0.0,0.0,0.0
91,St. Clair,0.0,0.0,0.0,0.0,0.0
