Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; Enrolled in school:,Margin of Error; Enrolled in school:,"Estimate; Enrolled in school: - Enrolled in nursery school, preschool","Margin of Error; Enrolled in school: - Enrolled in nursery school, preschool",Estimate; Enrolled in school: - Enrolled in kindergarten,Margin of Error; Enrolled in school: - Enrolled in kindergarten,Estimate; Enrolled in school: - Enrolled in grade 1,Margin of Error; Enrolled in school: - Enrolled in grade 1,Estimate; Enrolled in school: - Enrolled in grade 2,Margin of Error; Enrolled in school: - Enrolled in grade 2,Estimate; Enrolled in school: - Enrolled in grade 3,Margin of Error; Enrolled in school: - Enrolled in grade 3,Estimate; Enrolled in school: - Enrolled in grade 4,Margin of Error; Enrolled in school: - Enrolled in grade 4,Estimate; Enrolled in school: - Enrolled in grade 5,Margin of Error; Enrolled in school: - Enrolled in grade 5,Estimate; Enrolled in school: - Enrolled in grade 6,Margin of Error; Enrolled in school: - Enrolled in grade 6,Estimate; Enrolled in school: - Enrolled in grade 7,Margin of Error; Enrolled in school: - Enrolled in grade 7,Estimate; Enrolled in school: - Enrolled in grade 8,Margin of Error; Enrolled in school: - Enrolled in grade 8,Estimate; Enrolled in school: - Enrolled in grade 9,Margin of Error; Enrolled in school: - Enrolled in grade 9,Estimate; Enrolled in school: - Enrolled in grade 10,Margin of Error; Enrolled in school: - Enrolled in grade 10,Estimate; Enrolled in school: - Enrolled in grade 11,Margin of Error; Enrolled in school: - Enrolled in grade 11,Estimate; Enrolled in school: - Enrolled in grade 12,Margin of Error; Enrolled in school: - Enrolled in grade 12,"Estimate; Enrolled in school: - Enrolled in college, undergraduate years","Margin of Error; Enrolled in school: - Enrolled in college, undergraduate years",Estimate; Enrolled in school: - Graduate or professional school,Margin of Error; Enrolled in school: - Graduate or professional school,Estimate; Not enrolled in school,Margin of Error; Not enrolled in school
Point Breeze North,65,1004.0,168.264672466,134.0,67.1490878568,11.0,16.8819430161,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,5.0,16.2480768093,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,14.0,26.1533936612,37.0,32.0780298647,67.0,43.6463056856,870.0,152.695775973
Polish Hill,66,1183.0,159.615162187,109.0,40.2243707222,4.0,12.8062484749,0.0,14.1421356237,0.0,14.1421356237,6.0,12.8062484749,0.0,14.1421356237,5.0,12.2065556157,0.0,14.1421356237,2.0,10.7703296143,0.0,14.1421356237,10.0,14.1421356237,0.0,14.1421356237,7.0,14.8660687473,0.0,14.1421356237,17.0,18.0277563773,21.0,16.4012194669,37.0,24.7588368063,1074.0,152.869225157
Regent Square,67,989,106,232,71,9,13,18,16,0,10,13,21,14,16,20,23,18,15,5,9,35,17,11,11,9,11,12,14,6,9,6,9,6,8,50,30,757,77
Ridgemont,68,236,79,17,30,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,17,30,219,83
Shadyside,69,9328.0,678.00589968,2667.0,352.998583567,56.0,61.1555394056,58.0,58.7111573723,11.0,40.2988833593,10.0,39.4461658465,34.0,56.8858506132,15.0,39.0512483796,19.0,38.0,0.0,37.4165738677,59.0,50.4479930227,55.0,47.9270278652,0.0,37.4165738677,32.0,42.7784992724,16.0,39.8622628559,28.0,44.788391353,846.0,189.70766985,1428.0,246.78735786,6661.0,506.066201203
Sheraden,70,2617.0,399.583533194,419.0,141.594491419,37.0,43.7378554573,41.0,53.860932038,17.0,29.0688837075,0.0,24.4948974278,0.0,24.4948974278,7.0,24.9198715887,36.0,52.0480547186,36.0,42.0594816896,17.0,33.5410196625,11.0,28.7054001889,0.0,24.4948974278,35.0,37.148351242,0.0,24.4948974278,17.0,27.6586333718,67.0,49.7091540865,98.0,77.6466354712,2198.0,311.775560299
South Oakland,71,2106.0,415.717452124,1123.0,294.628579741,0.0,20.0,0.0,20.0,12.0,21.0237960416,6.0,20.5182845287,13.0,27.2213151776,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,6.0,20.5182845286,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,938.0,283.658245077,148.0,101.950968607,983.0,271.355854921
South Shore,72,12,14,4,7,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,4,7,0,10,8,9
South Side Flats,73,5817.0,737.918017126,2012.0,651.69931717,11.0,26.9258240357,23.0,41.5331193147,9.0,25.8650343127,3.0,23.4307490277,42.0,53.860932038,0.0,24.4948974278,32.0,58.4465567848,19.0,26.9258240357,0.0,24.4948974278,29.0,29.1547594743,0.0,24.4948974278,0.0,24.4948974278,5.0,24.4948974278,17.0,27.7308492477,1376.0,618.745505034,446.0,148.050667003,3805.0,403.383192511
South Side Slopes,74,4245.0,495.832633052,1065.0,251.497514897,30.0,44.3734154647,17.0,30.0,24.0,31.7647603485,23.0,44.3734154647,5.0,25.7681974535,0.0,26.4575131106,29.0,40.3732584763,9.0,28.2134719593,0.0,26.4575131106,21.0,32.9545141066,61.0,49.7493718552,74.0,54.7265931701,27.0,31.5594676761,50.0,50.8527285403,529.0,174.238342508,166.0,77.8460018241,3180.0,364.277366851
Spring Garden,75,634.0,142.42541908,24.0,19.7230829233,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,7.0,14.1421356237,0.0,14.1421356237,5.0,14.1421356237,6.0,13.4536240471,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,6.0,13.4536240471,610.0,138.408814748
Spring Hill-City View,76,1396.0,212.002358477,145.0,80.777472107,25.0,28.7228132327,7.0,18.547236991,6.0,16.7630546143,5.0,17.3205080757,0.0,17.3205080757,6.0,17.9164728671,16.0,21.354156504,18.0,22.1133443875,16.0,22.1133443875,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,7.0,17.9164728671,0.0,17.3205080757,39.0,32.6343377442,0.0,17.3205080757,1251.0,183.131100581
Squirrel Hill North,77,8480.0,586.31305631,3917.0,427.285618762,161.0,76.2102355331,59.0,54.5985347789,101.0,66.835619246,20.0,32.634337744,102.0,63.0396700499,81.0,50.7050293363,116.0,59.0084739678,72.0,56.8242905807,83.0,59.2958683215,49.0,38.1968585096,22.0,34.7850542618,82.0,41.0487515036,49.0,40.1248052956,49.0,35.8887168899,2303.0,246.570476741,568.0,130.357201565,4563.0,347.079241673
Squirrel Hill South,78,12568.0,799.30970218,3347.0,451.201728721,281.0,100.737282076,171.0,72.1664742108,172.0,86.1858457056,120.0,65.9696900101,171.0,81.694553062,126.0,69.0579466825,91.0,56.1248608017,80.0,58.9406481132,87.0,75.1997340421,62.0,52.488093888,72.0,57.6367938042,74.0,82.6135582093,109.0,71.526218969,167.0,103.160069795,510.0,196.313524751,1054.0,227.310360521,9221.0,563.034634815
St. Clair,79,102,60,16,18,16,18,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,86,51
Stanton Heights,80,2488.0,262.133553747,601.0,162.990797286,60.0,38.9871773793,9.0,22.2710574513,18.0,25.495097568,0.0,20.0,9.0,22.9128784748,46.0,53.860932038,56.0,35.0713558335,27.0,27.2946881279,9.0,22.2710574513,7.0,21.6564078277,23.0,24.6981780705,25.0,25.495097568,16.0,25.7099202643,43.0,42.6731765867,126.0,98.1478476585,127.0,53.2259335287,1887.0,227.38953362
Strip District,81,614,75,16,12,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,8,12,8,11,598,76
Summer Hill,82,930,108,150,50,3,6,22,20,9,10,0,10,29,20,0,10,6,9,0,10,13,16,0,10,0,10,23,20,0,10,5,8,35,23,5,9,780,93
Swisshelm Park,83,1166,107,249,54,17,13,11,10,11,11,16,11,21,16,8,10,5,7,5,7,4,6,29,23,15,13,0,10,11,11,8,8,58,33,30,18,917,91
Terrace Village,84,912.0,168.88161534,833.0,155.669521744,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,757.0,149.909972983,76.0,47.1699056603,79.0,66.0681466366
