Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; Enrolled in school:,Margin of Error; Enrolled in school:,"Estimate; Enrolled in school: - Enrolled in nursery school, preschool","Margin of Error; Enrolled in school: - Enrolled in nursery school, preschool",Estimate; Enrolled in school: - Enrolled in kindergarten,Margin of Error; Enrolled in school: - Enrolled in kindergarten,Estimate; Enrolled in school: - Enrolled in grade 1,Margin of Error; Enrolled in school: - Enrolled in grade 1,Estimate; Enrolled in school: - Enrolled in grade 2,Margin of Error; Enrolled in school: - Enrolled in grade 2,Estimate; Enrolled in school: - Enrolled in grade 3,Margin of Error; Enrolled in school: - Enrolled in grade 3,Estimate; Enrolled in school: - Enrolled in grade 4,Margin of Error; Enrolled in school: - Enrolled in grade 4,Estimate; Enrolled in school: - Enrolled in grade 5,Margin of Error; Enrolled in school: - Enrolled in grade 5,Estimate; Enrolled in school: - Enrolled in grade 6,Margin of Error; Enrolled in school: - Enrolled in grade 6,Estimate; Enrolled in school: - Enrolled in grade 7,Margin of Error; Enrolled in school: - Enrolled in grade 7,Estimate; Enrolled in school: - Enrolled in grade 8,Margin of Error; Enrolled in school: - Enrolled in grade 8,Estimate; Enrolled in school: - Enrolled in grade 9,Margin of Error; Enrolled in school: - Enrolled in grade 9,Estimate; Enrolled in school: - Enrolled in grade 10,Margin of Error; Enrolled in school: - Enrolled in grade 10,Estimate; Enrolled in school: - Enrolled in grade 11,Margin of Error; Enrolled in school: - Enrolled in grade 11,Estimate; Enrolled in school: - Enrolled in grade 12,Margin of Error; Enrolled in school: - Enrolled in grade 12,"Estimate; Enrolled in school: - Enrolled in college, undergraduate years","Margin of Error; Enrolled in school: - Enrolled in college, undergraduate years",Estimate; Enrolled in school: - Graduate or professional school,Margin of Error; Enrolled in school: - Graduate or professional school,Estimate; Not enrolled in school,Margin of Error; Not enrolled in school
Garfield,35,2888.0,362.409988825,851.0,181.11046353,40.0,37.0000000001,16.0,23.3452350598,113.0,56.1159513864,21.0,27.2946881278,18.0,25.6124969497,33.0,28.2842712474,22.0,25.8843582111,44.0,37.3630833845,46.0,44.3170396123,84.0,47.9270278653,36.0,32.8024389337,70.0,51.5654923374,47.0,43.1856457634,32.0,23.1084400166,221.0,101.538170163,8.0,22.825424421,2037.0,275.445094347
Glen Hazel,36,468,186,168,101,12,20,11,24,10,16,0,10,0,10,0,10,11,23,0,10,0,10,0,10,0,10,21,34,23,31,35,57,45,49,0,10,300,118
Greenfield,37,435.0,332.666499666,151.0,144.768781165,0.0,29.9999999999,0.0,29.9999999999,0.0,29.9999999999,53.0,84.8528137423,20.0,46.5725240887,0.0,29.9999999999,51.0,81.3265024454,0.0,29.9999999999,0.0,29.9999999999,0.0,29.9999999999,0.0,29.9999999999,0.0,29.9999999999,0.0,29.9999999999,27.0,45.0000000001,0.0,29.9999999999,0.0,29.9999999999,284.0,211.655380276
Hays,38,18,21,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,18,21
Hazelwood,39,1655.0,494.732250818,676.0,281.902465403,60.0,65.7723346096,25.0,39.0000000001,27.0,42.9534631898,6.0,25.8650343128,69.0,114.647285185,11.0,30.3973683072,29.0,34.7850542618,48.0,53.3947562968,29.0,38.9486841883,62.0,60.3406993662,36.0,45.0555213042,62.0,60.4814021001,12.0,26.0959767014,52.0,61.0982814816,148.0,84.7407812096,0.0,26.4575131106,979.0,254.399292451
Highland Park,40,1657.0,553.868215373,629.0,226.620828698,52.0,67.4240313242,25.0,40.938978981,14.0,35.0570962859,0.0,28.2842712474,104.0,88.481636513,7.0,33.1662479035,17.0,37.8021163429,0.0,28.2842712474,0.0,28.2842712474,58.0,72.30490993,0.0,28.2842712474,53.0,74.3303437366,104.0,83.3846508657,3.0,27.946377225,176.0,122.788435938,16.0,37.8021163429,1028.0,369.411694455
Homewood North,41,2888.0,416.839297571,1238.0,282.768456516,145.0,79.2148975888,67.0,47.5499737119,44.0,42.1070065429,91.0,51.2835256199,93.0,67.3572564762,81.0,51.5945733581,67.0,45.2327315116,68.0,53.3853912601,68.0,47.7807492616,50.0,34.4093010682,20.0,23.6643191324,80.0,50.4678115238,11.0,23.3238075794,70.0,59.076221951,261.0,87.5556965594,22.0,35.860842154,1650.0,225.676759991
Homewood South,42,2007.0,279.706989544,563.0,159.157155039,72.0,47.5499737119,54.0,40.0249921924,18.0,29.8328677803,18.0,27.5499546279,44.0,34.4963766212,38.0,36.9864840178,29.0,29.7825452237,44.0,32.8785644455,0.0,24.4948974278,28.0,31.2409987036,31.0,30.3644529014,28.0,25.6904651573,15.0,23.1084400167,28.0,25.3771550809,79.0,43.0813184571,37.0,31.5119025132,1444.0,187.803088367
Homewood West,43,722.0,228.58040161,148.0,102.927158709,0.0,14.1421356237,15.0,26.0,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,6.0,12.8062484749,17.0,30.6757233004,0.0,14.1421356237,40.0,36.8781778292,23.0,26.9258240357,0.0,14.1421356237,0.0,14.1421356237,25.0,33.5261092285,22.0,33.5261092285,0.0,14.1421356237,574.0,143.680200445
Knoxville,44,2257.0,724.846880382,1123.0,448.262200057,88.0,73.8715100699,29.0,47.5815090134,81.0,77.8010282709,90.0,91.2852671574,25.0,34.8998567333,156.0,110.421918114,19.0,29.6984848098,25.0,38.3275357935,133.0,93.9361485265,133.0,93.2684298141,90.0,91.7660067782,22.0,31.5594676761,34.0,48.4664832642,33.0,43.2319326425,165.0,116.301332752,0.0,24.4948974278,1134.0,341.865470617
